REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,EDU,EDU_LABEL,TIME_PERIOD,VALUE
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,EDU_AGGREGATE_ADV,Advanced,2024,1920.144
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,EDU_AGGREGATE_X,Level not stated,2024,100.354
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EDU_AGGREGATE_TOTAL,Total,2020,3157.062
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EDU_AGGREGATE_LTB,Less than basic,2020,4.065
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EDU_AGGREGATE_BAS,Basic,2020,298.619
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EDU_AGGREGATE_INT,Intermediate,2020,1081.453
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EDU_AGGREGATE_ADV,Advanced,2020,1772.925
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_TOTAL,Total,2020,2039.138
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_LTB,Less than basic,2020,3.426
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_BAS,Basic,2020,213.983
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_INT,Intermediate,2020,849.199
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_ADV,Advanced,2020,972.53
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,EDU_AGGREGATE_TOTAL,Total,2020,1117.924
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,EDU_AGGREGATE_LTB,Less than basic,2020,0.639
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,EDU_AGGREGATE_BAS,Basic,2020,84.636
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,EDU_AGGREGATE_INT,Intermediate,2020,232.253
ITA,Italy,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,EDU_AGGREGATE_ADV,Advanced,2020,800.396
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EDU_AGGREGATE_TOTAL,Total,2024,879.566
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EDU_AGGREGATE_BAS,Basic,2024,48.075
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EDU_AGGREGATE_INT,Intermediate,2024,357.194
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EDU_AGGREGATE_ADV,Advanced,2024,473.285
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EDU_AGGREGATE_X,Level not stated,2024,
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_TOTAL,Total,2024,545.989
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_BAS,Basic,2024,41.221
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_INT,Intermediate,2024,216.799
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_ADV,Advanced,2024,287.535
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,EDU_AGGREGATE_X,Level not stated,2024,
