REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,MTS,MTS_LABEL,TIME_PERIOD,VALUE
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_TOTAL,Total,2024,879.566
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_1,Single / Widowed / Divorced,2024,353.294
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_2,Married / Union / Cohabiting,2024,526.272
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_TOTAL,Total,2024,545.989
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_1,Single / Widowed / Divorced,2024,218.414
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_2,Married / Union / Cohabiting,2024,327.575
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_TOTAL,Total,2024,333.577
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_1,Single / Widowed / Divorced,2024,134.88
CZE,Czechia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_2,Married / Union / Cohabiting,2024,198.697
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_TOTAL,Total,2020,404.83
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_1,Single / Widowed / Divorced,2020,147.136
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_2,Married / Union / Cohabiting,2020,257.694
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_TOTAL,Total,2020,229.431
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_1,Single / Widowed / Divorced,2020,79.293
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_2,Married / Union / Cohabiting,2020,150.139
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_TOTAL,Total,2020,175.399
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_1,Single / Widowed / Divorced,2020,67.843
GRC,Greece,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_2,Married / Union / Cohabiting,2020,107.556
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_TOTAL,Total,2020,707.596
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_1,Single / Widowed / Divorced,2020,366.716
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_2,Married / Union / Cohabiting,2020,340.881
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_X,Not elsewhere classified,2015,
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_TOTAL,Total,2020,390.708
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_1,Single / Widowed / Divorced,2020,182.254
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_2,Married / Union / Cohabiting,2020,208.454
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_X,Not elsewhere classified,2015,
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_TOTAL,Total,2020,316.888
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_1,Single / Widowed / Divorced,2020,184.461
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_2,Married / Union / Cohabiting,2020,132.427
PRT,Portugal,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_X,Not elsewhere classified,2015,
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_TOTAL,Total,2024,1223.672
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_1,Single / Widowed / Divorced,2024,504.196
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_2,Married / Union / Cohabiting,2024,719.476
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_TOTAL,Total,2024,646.355
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_1,Single / Widowed / Divorced,2024,256.5
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_2,Married / Union / Cohabiting,2024,389.855
ARG,Argentina,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_TOTAL,Total,2024,577.317
