REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,INS,INS_LABEL,TIME_PERIOD,VALUE
MEX,Mexico,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,3119.688
MEX,Mexico,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,923.131
MEX,Mexico,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,2196.557
MEX,Mexico,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,1908.142
MEX,Mexico,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,391.05
MEX,Mexico,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,1517.092
MEX,Mexico,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,1211.546
MEX,Mexico,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,532.081
MEX,Mexico,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,679.465
PER,Peru,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,850.869
PER,Peru,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,316.41
PER,Peru,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,527.819
PER,Peru,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_X,Not elsewhere classified,2024,6.64
PER,Peru,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,495.02
PER,Peru,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,128.92
PER,Peru,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,366.053
PER,Peru,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_X,Not elsewhere classified,2024,
PER,Peru,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,355.848
PER,Peru,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,187.49
PER,Peru,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,161.767
PER,Peru,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_X,Not elsewhere classified,2024,6.592
URY,Uruguay,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,121.943
URY,Uruguay,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,36.783
URY,Uruguay,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,85.16
URY,Uruguay,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,65.466
URY,Uruguay,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,18.641
URY,Uruguay,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,46.825
URY,Uruguay,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,56.477
URY,Uruguay,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,18.142
URY,Uruguay,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,38.336
USA,United States of America,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,29417.865
USA,United States of America,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,3723.75
USA,United States of America,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,25694.115
USA,United States of America,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,13903.362
USA,United States of America,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,1790.168
USA,United States of America,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,12113.194
USA,United States of America,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,15514.502
USA,United States of America,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,1933.582
USA,United States of America,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,13580.921
IDN,Indonesia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2023,3390.266
IDN,Indonesia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2023,1271.965
IDN,Indonesia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2023,2118.301
IDN,Indonesia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2023,2037.053
IDN,Indonesia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2023,462.224
IDN,Indonesia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2023,1574.829
IDN,Indonesia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2023,1353.213
IDN,Indonesia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2023,809.741
IDN,Indonesia,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2023,543.473
PHL,Philippines,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2023,1821.441
PHL,Philippines,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2023,557.539
PHL,Philippines,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2023,1263.902
PHL,Philippines,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2023,937.558
PHL,Philippines,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2023,157.424
PHL,Philippines,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2023,780.134
PHL,Philippines,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2023,883.883
PHL,Philippines,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2023,400.114
PHL,Philippines,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2023,483.768
SGP,Singapore,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,113.343
SGP,Singapore,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,9.266
SGP,Singapore,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,104.077
SGP,Singapore,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,72.726
SGP,Singapore,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,6.131
SGP,Singapore,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,66.595
SGP,Singapore,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,40.617
SGP,Singapore,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,3.135
SGP,Singapore,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,37.482
THA,Thailand,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,1387.3
THA,Thailand,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,533.164
THA,Thailand,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,854.136
THA,Thailand,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,739.065
THA,Thailand,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,208.876
THA,Thailand,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,530.189
THA,Thailand,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,648.235
THA,Thailand,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,324.289
THA,Thailand,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,323.947
VNM,Viet Nam,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,1794.368
VNM,Viet Nam,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,840.729
VNM,Viet Nam,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,953.639
VNM,Viet Nam,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,1061.491
VNM,Viet Nam,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,375.579
VNM,Viet Nam,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,685.912
VNM,Viet Nam,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,732.878
VNM,Viet Nam,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,465.151
VNM,Viet Nam,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,267.727
EGY,Egypt,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,1893.302
EGY,Egypt,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,1020.443
EGY,Egypt,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,869.922
EGY,Egypt,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,1322.95
EGY,Egypt,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,592.523
EGY,Egypt,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,730.011
EGY,Egypt,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,570.352
EGY,Egypt,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,427.921
EGY,Egypt,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,139.911
EGY,Egypt,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_X,Not elsewhere classified,2024,2.936
EGY,Egypt,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_X,Not elsewhere classified,2024,
EGY,Egypt,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_X,Not elsewhere classified,2024,2.521
ISR,Israel,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2023,690.989
ISR,Israel,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2023,194.497
ISR,Israel,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2023,492.427
ISR,Israel,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_X,Not elsewhere classified,2023,4.066
ISR,Israel,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2023,408.518
ISR,Israel,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2023,89.12
ISR,Israel,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2023,316.781
ISR,Israel,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_X,Not elsewhere classified,2023,2.617
