REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,DSB,DSB_LABEL,TIME_PERIOD,VALUE
ISR,Israel,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_TOTAL,Total,2023,15.056
ISR,Israel,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_DIS,Persons with disability,2023,1.148
ISR,Israel,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_NODIS,Persons without disability,2023,13.908
ISR,Israel,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_TOTAL,Total,2023,18.011
ISR,Israel,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_DIS,Persons with disability,2023,0.338
ISR,Israel,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_NODIS,Persons without disability,2023,17.673
NGA,Nigeria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_TOTAL,Total,2019,1334.037
NGA,Nigeria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_DIS,Persons with disability,2019,12.991
NGA,Nigeria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_NODIS,Persons without disability,2019,1321.046
NGA,Nigeria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_TOTAL,Total,2019,530.581
NGA,Nigeria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_DIS,Persons with disability,2019,8.841
NGA,Nigeria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_NODIS,Persons without disability,2019,521.739
NGA,Nigeria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_TOTAL,Total,2019,803.456
NGA,Nigeria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_DIS,Persons with disability,2019,
NGA,Nigeria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_NODIS,Persons without disability,2019,799.307
