REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,MTS,MTS_LABEL,TIME_PERIOD,VALUE
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_TOTAL,Total,2024,12.975
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_1,Single / Widowed / Divorced,2024,8.645
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,MTS_AGGREGATE_2,Married / Union / Cohabiting,2024,4.33
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_TOTAL,Total,2024,6.864
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_1,Single / Widowed / Divorced,2024,4.996
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,MTS_AGGREGATE_2,Married / Union / Cohabiting,2024,1.868
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_TOTAL,Total,2024,6.112
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_1,Single / Widowed / Divorced,2024,3.649
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,MTS_AGGREGATE_2,Married / Union / Cohabiting,2024,2.463
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,MTS_DETAILS_TOTAL,Total,2024,12.975
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,MTS_DETAILS_SGLE,Single,2024,6.429
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,MTS_DETAILS_MRD,Married,2024,4.33
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,MTS_DETAILS_WID,Widowed,2024,
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,MTS_DETAILS_SEP,Divorced or legally separated,2024,2.043
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,MTS_DETAILS_TOTAL,Total,2024,6.864
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,MTS_DETAILS_SGLE,Single,2024,4.461
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,MTS_DETAILS_MRD,Married,2024,1.868
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,MTS_DETAILS_WID,Widowed,2024,
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,MTS_DETAILS_SEP,Divorced or legally separated,2024,
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,MTS_DETAILS_TOTAL,Total,2024,6.112
