REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,STE,STE_LABEL,TIME_PERIOD,VALUE
BRA,Brazil,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2024,748.103
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2020,971.389
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2020,816.891
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_SLF,Self-employed,2020,154.498
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_TOTAL,Total,2020,550.3
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_EES,Employees,2020,459.071
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2020,91.229
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2020,421.089
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2020,357.82
CHL,Chile,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2020,63.269
COL,Colombia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2017,1546.792
COL,Colombia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2017,912.11
COL,Colombia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_SLF,Self-employed,2017,630.351
COL,Colombia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_X,Workers not classifiable by status,2017,4.332
COL,Colombia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_TOTAL,Total,2017,1075.705
COL,Colombia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_EES,Employees,2017,614.161
COL,Colombia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2017,457.848
COL,Colombia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_X,Workers not classifiable by status,2017,3.696
COL,Colombia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2017,471.087
COL,Colombia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2017,297.949
COL,Colombia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2017,172.503
COL,Colombia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_X,Workers not classifiable by status,2017,0.636
JPN,Japan,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2022,7331.446
JPN,Japan,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2022,6910.524
