REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,ECO,ECO_LABEL,OCU,OCU_LABEL,TIME_PERIOD,VALUE
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_ISCO08_TOTAL,Total,2024,6262.674
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_ISCO08_1,1. Managers,2024,401.647
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_ISCO08_2,2. Professionals,2024,305.633
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_ISCO08_3,3. Technicians and associate professionals,2024,441.133
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_ISCO08_4,4. Clerical support workers,2024,414.098
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_ISCO08_5,5. Service and sales workers,2024,281.757
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2024,4.056
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_ISCO08_7,7. Craft and related trades workers,2024,2139.477
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2024,1361.387
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_MAN,Manufacturing,OCU_ISCO08_9,9. Elementary occupations,2024,913.487
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_CON,Construction,OCU_ISCO08_TOTAL,Total,2024,2161.855
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_CON,Construction,OCU_ISCO08_1,1. Managers,2024,90.333
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_CON,Construction,OCU_ISCO08_2,2. Professionals,2024,82.653
TUR,Türkiye,A,Annual,EMP_TEMP_NB,Employment (previous ILO definition),ECO_AGGREGATE_CON,Construction,OCU_ISCO08_3,3. Technicians and associate professionals,2024,114.943
