REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,TIME_PERIOD,VALUE
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,AGE_AGGREGATE_Y55-64,55-64,2024,2.549
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,AGE_AGGREGATE_YGE65,65+,2024,2.732
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,AGE_AGGREGATE_TOTAL,Total,2024,5.276
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,AGE_AGGREGATE_Y15-24,15-24,2024,
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,AGE_AGGREGATE_Y25-54,25-54,2024,3.001
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,AGE_AGGREGATE_Y55-64,55-64,2024,0.985
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,AGE_AGGREGATE_YGE65,65+,2024,0.939
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,AGE_10YRBANDS_TOTAL,Total,2024,12.843
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,AGE_10YRBANDS_Y15-24,15-24,2024,1.499
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,AGE_10YRBANDS_Y25-34,25-34,2024,
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,AGE_10YRBANDS_Y35-44,35-44,2024,1.349
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,AGE_10YRBANDS_Y45-54,45-54,2024,2.168
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,AGE_10YRBANDS_Y55-64,55-64,2024,3.533
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,AGE_10YRBANDS_YGE65,65+,2024,3.671
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,AGE_10YRBANDS_TOTAL,Total,2024,7.567
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,AGE_10YRBANDS_Y15-24,15-24,2024,1.147
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,AGE_10YRBANDS_Y25-34,25-34,2024,
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,AGE_10YRBANDS_Y35-44,35-44,2024,
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,AGE_10YRBANDS_Y45-54,45-54,2024,
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,AGE_10YRBANDS_Y55-64,55-64,2024,2.549
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,AGE_10YRBANDS_YGE65,65+,2024,2.732
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,AGE_10YRBANDS_TOTAL,Total,2024,5.276
NLD,Netherlands,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,AGE_10YRBANDS_Y15-24,15-24,2024,
