REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,MIG,MIG_LABEL,TIME_PERIOD,VALUE
GRC,Greece,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2016,1.21
GRC,Greece,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2016,0.13
GRC,Greece,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2016,0.14
HUN,Hungary,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2024,1.6
HUN,Hungary,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2024,1.47
HUN,Hungary,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2024,0.13
HUN,Hungary,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2024,0.04
HUN,Hungary,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2024,1.55
HUN,Hungary,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2024,0.04
HUN,Hungary,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2024,1.43
HUN,Hungary,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2024,0.0
HUN,Hungary,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2024,0.13
NOR,Norway,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,1.1
NOR,Norway,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2022,0.58
NOR,Norway,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2022,1.22
NOR,Norway,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2022,2.08
NOR,Norway,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2022,1.07
NOR,Norway,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2022,2.32
NOR,Norway,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2021,0.08
NOR,Norway,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2021,0.09
