REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,MIG,MIG_LABEL,TIME_PERIOD,VALUE
ITA,Italy,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2020,3.39
ITA,Italy,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,2.66
ITA,Italy,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,2.03
ITA,Italy,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,2.01
NLD,Netherlands,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2015,0.5
NLD,Netherlands,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2016,0.5
NLD,Netherlands,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2017,0.59
NLD,Netherlands,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,0.6
NLD,Netherlands,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2019,0.48
NLD,Netherlands,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2020,0.3
NLD,Netherlands,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,0.33
NLD,Netherlands,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,0.31
NLD,Netherlands,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,0.38
SWE,Sweden,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2024,0.7
SWE,Sweden,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2024,1.4
SWE,Sweden,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2024,0.0
CZE,Czechia,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2016,2.07
CZE,Czechia,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2017,1.82
CZE,Czechia,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,2.59
CZE,Czechia,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2019,2.01
CZE,Czechia,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2020,2.3
CZE,Czechia,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,1.87
CZE,Czechia,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,1.85
CZE,Czechia,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1.64
CZE,Czechia,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2015,5.21
CZE,Czechia,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2015,0.09
DNK,Denmark,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2015,1.02
DNK,Denmark,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2016,1.23
DNK,Denmark,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2017,0.92
DNK,Denmark,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,1.28
