job_title_original,SEX_F,SEX_M,male_count,female_count,total,male_pct,female_pct
News Reader,46603.986000000004,25915.205,25915.205,46603.986000000004,72519.191,0.35735650994782886,0.6426434900521711
Nurse,20804.166,8092.372,8092.372,20804.166,28896.538,0.2800464194015214,0.7199535805984787
Nutritionist,20804.166,8092.372,8092.372,20804.166,28896.538,0.2800464194015214,0.7199535805984787
Oceanographer,21764.255,7352.144,7352.144,21764.255,29116.399,0.25250869793342234,0.7474913020665777
Office Assistant,21764.255,7352.144,7352.144,21764.255,29116.399,0.25250869793342234,0.7474913020665777
Operations Manager,6600.304,11837.514,11837.514,6600.304,18437.818,0.6420235843525519,0.3579764156474481
Optician,2518.168,5710.225,5710.225,2518.168,8228.393,0.6939660028391935,0.3060339971608065
Painter,2114.273,5135.843,5135.843,2114.273,7250.116,0.708380803838173,0.29161919616182697
Paralegal,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Paramedic,21764.255,7352.144,7352.144,21764.255,29116.399,0.25250869793342234,0.7474913020665777
Park Ranger,3331.705,44355.99,44355.99,3331.705,47687.695,0.9301349121613028,0.06986508783869717
Payroll Specialist,19310.343,18576.85,18576.85,19310.343,37887.193,0.4903200403365855,0.5096799596634145
Personal Trainer,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Pharmacist,20804.166,8092.372,8092.372,20804.166,28896.538,0.2800464194015214,0.7199535805984787
Photographer,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Physicist,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Pilot,4020.784,22721.184,22721.184,4020.784,26741.968,0.8496451719634097,0.15035482803659028
Plumber,3331.705,44355.99,44355.99,3331.705,47687.695,0.9301349121613028,0.06986508783869717
Police Officer,3396.599,28456.007999999998,28456.007999999998,3396.599,31852.606999999996,0.8933651176495538,0.10663488235044624
Politician,2518.168,5710.225,5710.225,2518.168,8228.393,0.6939660028391935,0.3060339971608065
Postal Worker,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Priest,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Procurement Officer,24557.03,22138.776,22138.776,24557.03,46695.806,0.47410630410791077,0.5258936958920893
Professor,46603.986000000004,25915.205,25915.205,46603.986000000004,72519.191,0.35735650994782886,0.6426434900521711
